

previous 1 words
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 15		83.0734		111.633		119.305		82.6685387405
Hour 16		82.1424		111.346		118.487		82.5550751094
Hour 17		81.1426		110.219		117.591		82.478652567
Hour 18		80.4535		109.551		116.655		82.1340411963
Hour 19		79.6044		108.846		115.968		82.0614981839
Hour 20		79.0388		108.32		115.323		81.8661912299
Hour 21		78.3886		107.767		114.69		81.7244063843
Hour 22		77.6843		107.295		114.173		81.6203903256
Hour 23		77.2176		106.48		113.626		81.5756764509
Hour 24		76.599		106.062		113.156		81.4694249473
Hour 25		76.1297		105.797		112.739		81.5202944742
Hour 26		75.6175		105.477		112.083		81.1646656152
Hour 27		75.1497		105.123		111.686		81.1548422291
Hour 28		74.6738		104.911		111.35		81.0493091417
Hour 29		74.3694		104.161		110.72		81.0166242882
Hour 30		74.1267		104.37		110.902		81.0105451412
Hour 31		73.9787		104.276		110.57		80.848197788
Hour 32		73.909		104.391		110.838		80.9286101448
Hour 33		73.7195		104.057		110.474		80.8371472049
Hour 34		73.5771		103.972		110.31		80.8981334419
Hour 35		73.3563		103.502		109.934		80.7493130601
Hour 36		73.2254		103.665		109.986		80.7625007067
Hour 37		73.0682		103.487		109.866		80.7846575437
Hour 38		72.9277		103.488		109.799		80.8120817756
Hour 39		72.8719		103.506		109.808		80.7513454877
Hour 40		72.5807		103.086		109.377		80.5701423074




Model using previous 4 words and D=50
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		141.586		162.188		172.313		91.8648568984
Hour 2		118.723		144.094		153.952		89.47055609
Hour 3		107.399		136.024		144.957		88.0441402669
Hour 4		100.565		131.304		139.444		87.1397916431
Hour 5		95.4882		127.263		135.613		86.6232210249
Hour 6		91.3596		123.723		131.925		85.8589698309
Hour 7		88.0639		121.106		129.34		85.5948971508
Hour 8		85.3477		119.479		127.352		85.0671875776
Hour 9		83.1488		117.775		125.466		84.9302350886
Hour 10		81.1028		116.184		124.016		84.7243521184
Hour 11		79.5573		115.11		123.125		84.5976223103
Hour 12		77.8599		114.103		121.519		84.2641246856
Hour 13		76.3472		112.679		120.332		84.0933381755
Hour 14		75.2443		111.921		119.337		84.0633181581
Hour 15		74.1347		111.162		118.609		83.854212925
Hour 16		73.0644		110.66		118.104		83.8438947701
Hour 17		72.0166		109.601		116.841		83.5771393933
Hour 18		71.0964		109.26		116.437		83.3894804617
Hour 19		70.2612		108.405		115.644		83.2487803641
Hour 20		69.5493		108.477		115.126		83.1505218432
Hour 21		68.6085		107.376		114.526		83.1718436585
Hour 22		67.9998		106.751		113.89		83.0386946237
Hour 23		67.3784		106.753		113.549		82.9798506403
Hour 24		66.7547		106.258		113.187		82.838507335
Hour 25		66.1661		105.596		112.747		82.8344791603
Hour 26		65.6424		105.277		112.261		82.7595507087
Hour 27		65.0858		105.245		112.108		82.7167919955
Hour 28		64.5435		104.538		111.467		82.5857922159
Hour 29		64.1943		104.445		111.499		82.6959787291
Hour 30		63.6217		104.227		111.019		82.5298148352
Hour 31		63.2041		103.951		110.873		82.5170119826
Hour 32		62.7138		103.193		110.188		82.3415229958
Hour 33		62.3412		103.352		110.084		82.3255539947
Hour 34		61.9445		103.166		109.945		82.3856335032
Hour 35		61.6135		102.866		109.481		82.3707828718
Hour 36		61.2124		102.788		109.204		82.1584206724
Hour 37		60.8351		102.42		109.078		82.1564407762
Hour 38		60.5797		102.357		109.12		82.1990619767
Hour 39		60.2299		102.078		108.625		82.1741887317
Hour 40		59.9209		101.909		108.524		82.0420726376




Model using previous 4 words on larger training dataset
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1				165.044		177.696		85.1703356605
Hour 2				146.254		156.624		81.4109936405
Hour 3				138.559		148.533		80.0025012767
Hour 4				133.123		142.934		79.0265789799
Hour 5				129.24		138.248		77.9962529148
Hour 6				125.427		134.499		77.3587450388
Hour 7				122.571		130.754		76.3556235697
Hour 8				120.012		128.378		75.79715284
Hour 9				117.903		125.862		75.2773759303
Hour 10				116.245		123.854		74.860244759
Hour 11				114.115		121.793		74.5356424485
Hour 12				112.008		119.801		73.998720463
Hour 13				110.099		117.536		73.542361443
Hour 14				108.813		115.605		73.1406410947
Hour 15				106.485		113.573		72.6602492668
Hour 16				104.267		111.506		72.208057852
Hour 17				102.961		109.974		71.8471544553
Hour 18				101.836		108.601		71.5592213615
Hour 19				100.453		107.123		71.0695352886
Hour 20				99.3265		105.765		70.8699683801
Hour 21				98.1133		104.739		70.5133972077
Hour 22				97.2092		103.547		70.2579535899
Hour 23				96.2406		102.551		70.003475733
Hour 24				95.5243		101.678		69.8098981278
Hour 25				94.5922		100.78		69.5182988974
Hour 26				94.1082		100.177		69.3851806624
Hour 27				93.3863		99.4321		69.2275739239
Hour 28				92.6615		98.6327		69.0195780499
Hour 29				91.9654		97.9785		68.7874457472
Hour 30				91.4659		97.423		68.7182364502
Hour 31				91.098		96.9034		68.5313340857
Hour 32				90.5789		96.3545		68.4232635166
Hour 33				90.0488		95.8797		68.2847433333
Hour 34				89.6756		95.3593		68.1609352139
Hour 35				89.2886		95.0316		68.05911
Hour 36				88.9305		94.625		68.0006432178
Hour 37				88.472		94.0749		67.7965626214
Hour 38				88.1767		93.7343		67.7389758191
Hour 39				87.7172		93.3069		67.615918
Hour 40				87.5194		92.9804		67.5388493816





